Today,Address,Area,Property Type,Price,Prev Price,Sq Ft,$ / Sq Ft,Beds,Baths,Garage,Assigned Elementary,Listing Status,Date Listed,Days on Market,First Seen,Latitude,Longitude,Listing Link
NEW,18318 W 58th Pl Apt 74,North Table / Van Bibber,Condo,424500,,1124,377.67,2,1.5,Yes (1 car),Mitchell Elementary,Coming Soon,2026-08-30,1,2026-08-31,39.802328,-105.205197,https://www.realtor.com/realestateandhomes-detail/18318-W-58th-Pl-Apt-74_Golden_CO_80401_M28534-19454
,697 Lupine St,West Pleasant View,Single-Family,500000,,1924,259.88,3,2.0,Yes,Welchester Elementary,House for sale,2026-08-24,7,2026-08-25,39.727151,-105.174048,https://www.realtor.com/realestateandhomes-detail/697-Lupine-St_Golden_CO_80401_M12210-78604
,760 Lupine St,West Pleasant View,Single-Family,499000,,865,576.88,2,2.0,Yes,Welchester Elementary,House for sale,2026-06-17,75,2026-07-18,39.728409,-105.173352,https://www.realtor.com/realestateandhomes-detail/760-Lupine-St_Golden_CO_80401_M22942-22466
,18505 W 4th Pl,Golden,Townhome,495000,,1287,384.62,2,2.0,Yes (2 car),Shelton Elementary,Townhouse for sale,2026-05-08,115,2026-08-25,39.722174,-105.209022,https://www.realtor.com/realestateandhomes-detail/18505-W-4th-Pl_Golden_CO_80401_M17866-62071
,428 Antero St,Golden,Townhome,469000,,1287,364.41,2,2.0,Yes (2 car),Shelton Elementary,Townhouse for sale,2026-05-11,112,2026-07-15,39.722496,-105.208121,https://www.realtor.com/realestateandhomes-detail/428-Antero-St_Golden_CO_80401_M95849-68863
,426 Anvil Way,Golden,Townhome,460000,,1287,357.42,2,2.0,Yes (2 car),Shelton Elementary,Townhouse for sale,2026-04-10,143,2026-07-15,39.722604,-105.208981,https://www.realtor.com/realestateandhomes-detail/426-Anvil-Way_Golden_CO_80401_M17875-93720
,18284 W 58th Pl Apt 21,North Table / Van Bibber,Townhome,447000,,1200,372.5,3,2.0,Yes (1 car),Mitchell Elementary,Townhouse for sale,2026-05-23,100,2026-07-29,39.802394,-105.204152,https://www.realtor.com/realestateandhomes-detail/18284-W-58th-Pl-Apt-21_Golden_CO_80401_M19507-99136
,309 Arapahoe St Unit 1/2,Golden,Condo,437500,,858,509.91,2,1.0,Unknown,Mitchell Elementary,Condo for sale,2026-08-13,18,2026-08-14,39.762604,-105.22942,https://www.realtor.com/realestateandhomes-detail/309-Arapahoe-St-Unit-1/2_Golden_CO_80401_M11584-80748
,1221 Illinois St Apt 1F,Golden,Condo,435000,,875,497.14,2,1.0,Unknown,Mitchell Elementary,Pending,2026-02-13,199,2026-07-15,39.753146,-105.223732,https://www.realtor.com/realestateandhomes-detail/1221-Illinois-St-Apt-1F_Golden_CO_80401_M15228-27605
,18324 W 58th Pl Apt 78,North Table / Van Bibber,Condo,395000,,1124,351.42,2,1.5,Yes (1 car),Mitchell Elementary,Condo for sale,2026-05-29,94,2026-07-29,39.802009,-105.205103,https://www.realtor.com/realestateandhomes-detail/18324-W-58th-Pl-Apt-78_Golden_CO_80401_M28557-29943
,18328 W 58th Pl Apt 83,North Table / Van Bibber,Townhome,379999,,1124,338.08,2,1.5,Yes (1 car),Mitchell Elementary,Townhouse for sale,2026-05-30,93,2026-07-29,39.802006,-105.205588,https://www.realtor.com/realestateandhomes-detail/18328-W-58th-Pl-Apt-83_Golden_CO_80401_M29116-10423
,1250 Golden Cir Apt 113,Golden,Condo,339000,,800,423.75,2,1.0,Yes,Shelton Elementary,Condo for sale,2026-08-04,27,2026-08-05,39.726313,-105.20867,https://www.realtor.com/realestateandhomes-detail/1250-Golden-Cir-Apt-113_Golden_CO_80401_M15995-49774
,1350 Golden Cir Apt 208,Golden,Condo,289000,,800,361.25,2,1.5,Yes,Shelton Elementary,Pending,2026-07-17,45,2026-07-18,39.724275,-105.209037,https://www.realtor.com/realestateandhomes-detail/1350-Golden-Cir-Apt-208_Golden_CO_80401_M18145-03582
,501 Golden Cir Apt 307,Golden,Condo,289000,,1050,275.24,3,2.0,Unknown,Shelton Elementary,Pending,2026-06-09,83,2026-07-15,39.724404,-105.208323,https://www.realtor.com/realestateandhomes-detail/501-Golden-Cir-Apt-307_Golden_CO_80401_M21558-81841
,501 Golden Cir Apt 303,Golden,Condo,289000,,800,361.25,2,1.0,Yes,Shelton Elementary,Condo for sale,2026-07-16,46,2026-07-17,39.724404,-105.208323,https://www.realtor.com/realestateandhomes-detail/501-Golden-Cir-Apt-303_Golden_CO_80401_M23643-92310
,1300 Golden Cir Apt 302,Golden,Condo,274900,,800,343.62,2,1.0,Unknown,Shelton Elementary,Condo for sale,2026-08-08,23,2026-08-09,39.725072,-105.208894,https://www.realtor.com/realestateandhomes-detail/1300-Golden-Cir-Apt-302_Golden_CO_80401_M17992-61812
,16259 W 10th Ave Apt K3,West Pleasant View,Condo,229900,,773,297.41,2,1.0,Unknown,Welchester Elementary,Condo for sale,2026-01-02,241,2026-07-15,39.733088,-105.182409,https://www.realtor.com/realestateandhomes-detail/16259-W-10th-Ave-Apt-K3_Golden_CO_80401_M22720-18138
,1300 Golden Cir Apt 104,Golden,Condo,225000,,800,281.25,2,1.0,Unknown,Shelton Elementary,Pending,2026-04-01,152,2026-07-15,39.725072,-105.208894,https://www.realtor.com/realestateandhomes-detail/1300-Golden-Cir-Apt-104_Golden_CO_80401_M17328-50050
,16259 W 10th Ave Apt E2,West Pleasant View,Condo,205000,,773,265.2,2,1.0,Unknown,Welchester Elementary,Condo for sale,2026-04-08,145,2026-07-15,39.733697,-105.182747,https://www.realtor.com/realestateandhomes-detail/16259-W-10th-Ave-Apt-E2_Golden_CO_80401_M20707-28641
,451 Golden Cir Apt 101,Golden,Condo,199900,,1050,190.38,3,2.0,Yes,Shelton Elementary,Condo for sale,2026-07-23,39,2026-07-24,39.723552,-105.208324,https://www.realtor.com/realestateandhomes-detail/451-Golden-Cir-Apt-101_Golden_CO_80401_M12221-47548
,16259 W 10th Ave Apt I2,West Pleasant View,Condo,149000,,773,192.76,2,1.0,Yes,Welchester Elementary,Pending,2026-08-19,12,2026-08-20,39.733449,-105.182327,https://www.realtor.com/realestateandhomes-detail/16259-W-10th-Ave-Apt-I2_Golden_CO_80401_M11483-74860
